ticket_id,customer_id,creation_date,resolution_date,status,priority,issue_type,channel
1935,1672,2024-01-06,2024-01-11,Resolved,Low,Feature Request,Forum
1936,1674,2023-01-20,,Pending Customer Response,Low,Feature Request,Phone
1937,1674,2023-01-20,,Open,Medium,Feature Request,Phone
1938,1679,2022-11-19,,Pending Customer Response,Urgent,Feature Request,Forum
1939,1679,2023-01-01,,In Progress,Urgent,Bug Report,Email
1940,1680,2022-06-06,,Open,Medium,How-to Question,Email
1941,1680,2022-08-16,2022-08-20,Closed,Medium,Technical Glitch,Phone
1942,1680,2022-07-02,,Open,High,Bug Report,Chat
1943,1680,2022-08-09,,Pending Customer Response,Medium,Feature Request,Phone
1944,1680,2022-06-17,2022-06-22,Closed,High,Feature Request,Forum
1945,1683,2023-01-08,,Pending Customer Response,High,Password Reset,Chat
1946,1685,2022-10-23,,In Progress,High,How-to Question,Chat
1947,1685,2023-03-16,,In Progress,Urgent,Password Reset,Forum
1948,1685,2023-04-17,,In Progress,High,Technical Glitch,Chat
1949,1687,2022-08-29,2022-08-30,Resolved,Medium,Feature Request,Forum
1950,1688,2022-10-11,,Open,Medium,Password Reset,Phone
1951,1689,2022-06-09,2022-06-11,Closed,Low,Password Reset,Email
1952,1690,2022-06-16,2022-06-18,Resolved,Low,Password Reset,Chat
1953,1691,2022-10-24,,Pending Customer Response,Urgent,How-to Question,Phone
1954,1691,2023-06-04,2023-06-07,Closed,Medium,Bug Report,Phone
1955,1692,2022-06-15,,Open,High,Billing Inquiry,Phone
1956,1692,2022-06-21,2022-06-28,Closed,Urgent,Feature Request,Phone
1957,1693,2022-10-07,,Pending Customer Response,High,Bug Report,Email
1958,1697,2023-07-25,2023-07-25,Resolved,Medium,Billing Inquiry,Chat
1959,1697,2023-07-04,,Open,Urgent,Bug Report,Forum
1960,1699,2024-09-16,2024-09-23,Closed,High,Password Reset,Phone
1961,1699,2023-06-19,,Open,Medium,Password Reset,Chat
1962,1701,2022-07-13,,Open,Medium,Technical Glitch,Chat
1963,1701,2022-06-07,,Open,Medium,Bug Report,Chat
1964,1701,2022-06-17,2022-06-18,Closed,Urgent,Password Reset,Email
1965,1702,2022-07-11,,In Progress,High,Technical Glitch,Phone
1966,1702,2022-06-22,2022-06-27,Resolved,Urgent,Technical Glitch,Chat
1967,1703,2022-10-25,,Pending Customer Response,High,Billing Inquiry,Email
1968,1703,2022-10-08,2022-10-13,Closed,Urgent,Feature Request,Email
1969,1704,2023-07-14,2023-07-20,Resolved,Low,Technical Glitch,Email
1970,1705,2022-06-07,,In Progress,Urgent,Bug Report,Forum
1971,1706,2022-12-11,2022-12-18,Closed,Medium,Bug Report,Forum
1972,1706,2023-01-14,2023-01-17,Closed,Urgent,Password Reset,Email
1973,1707,2022-07-25,,In Progress,Low,Feature Request,Forum
1974,1708,2022-07-05,,Open,Medium,Billing Inquiry,Email
1975,1708,2022-09-08,,Open,Low,Password Reset,Email
1976,1709,2022-10-20,,In Progress,Low,Password Reset,Phone
1977,1711,2022-06-07,,Open,Medium,Bug Report,Email
1978,1712,2022-08-06,2022-08-13,Resolved,Low,How-to Question,Forum
1979,1713,2022-09-12,,Pending Customer Response,Urgent,Bug Report,Phone
1980,1714,2023-07-28,2023-08-01,Closed,Medium,Billing Inquiry,Forum
1981,1715,2023-09-23,2023-09-28,Resolved,Medium,Feature Request,Chat
1982,1715,2024-07-22,2024-07-23,Resolved,Low,Bug Report,Forum
1983,1717,2023-02-20,2023-02-23,Closed,High,Billing Inquiry,Email
1984,1719,2023-06-02,,Pending Customer Response,Urgent,Technical Glitch,Chat
1985,1721,2022-08-03,2022-08-09,Closed,Urgent,Feature Request,Email
1986,1721,2022-06-17,,In Progress,Urgent,Technical Glitch,Forum
1987,1722,2024-01-16,,Pending Customer Response,Low,Technical Glitch,Email
1988,1722,2023-11-13,2023-11-13,Closed,Medium,Password Reset,Chat
1989,1723,2022-06-10,,Pending Customer Response,Low,Bug Report,Forum
1990,1723,2022-06-11,2022-06-14,Resolved,Medium,Technical Glitch,Forum
1991,1724,2023-02-19,2023-02-25,Closed,Low,Technical Glitch,Forum
1992,1725,2022-11-16,,In Progress,Urgent,How-to Question,Chat
1993,1725,2023-01-02,2023-01-02,Closed,High,Password Reset,Chat
1994,1726,2023-02-22,2023-02-22,Resolved,Medium,Feature Request,Forum
1995,1726,2022-08-22,,Open,Medium,Feature Request,Chat
1996,1726,2022-07-08,2022-07-12,Closed,High,Feature Request,Phone
1997,1728,2023-06-09,2023-06-11,Resolved,Urgent,Billing Inquiry,Email
1998,1728,2024-04-15,,Pending Customer Response,Low,How-to Question,Forum
1999,1729,2023-02-16,2023-02-17,Closed,High,Technical Glitch,Phone
2000,1730,2022-07-08,,Open,Low,Billing Inquiry,Chat
2001,1731,2022-06-07,2022-06-10,Closed,Medium,Password Reset,Phone
2002,1732,2022-11-21,,Open,High,Technical Glitch,Email
2003,1733,2022-07-27,2022-07-30,Resolved,Low,Feature Request,Forum
2004,1736,2023-02-24,2023-03-01,Closed,High,Technical Glitch,Email
2005,1738,2022-06-21,,Pending Customer Response,High,Bug Report,Chat
2006,1739,2022-08-18,,Open,Medium,Bug Report,Chat
2007,1739,2022-08-02,,Pending Customer Response,High,Billing Inquiry,Email
2008,1742,2022-11-10,,In Progress,Low,Billing Inquiry,Chat
2009,1742,2022-07-09,2022-07-10,Closed,Urgent,Password Reset,Forum
2010,1743,2022-11-10,,In Progress,Urgent,Technical Glitch,Phone
2011,1744,2022-08-23,2022-08-28,Closed,Medium,Billing Inquiry,Forum
2012,1745,2022-08-29,,Pending Customer Response,Urgent,Billing Inquiry,Forum
2013,1746,2023-10-26,,Open,Urgent,Billing Inquiry,Forum
2014,1746,2023-08-30,2023-08-30,Resolved,Medium,Feature Request,Email
2015,1747,2022-12-11,,Open,High,Password Reset,Phone
2016,1747,2022-08-17,,Open,High,Technical Glitch,Phone
2017,1748,2022-06-16,,In Progress,High,Technical Glitch,Chat
2018,1751,2023-05-25,,Open,Urgent,How-to Question,Chat
2019,1752,2023-05-27,,Open,Medium,Bug Report,Forum
2020,1754,2022-06-14,,In Progress,Low,Billing Inquiry,Phone
2021,1755,2022-06-12,,Open,Urgent,Billing Inquiry,Chat
2022,1756,2024-11-22,,In Progress,Urgent,Password Reset,Email
2023,1759,2023-01-29,2023-02-03,Closed,Low,Billing Inquiry,Email
2024,1759,2022-12-17,2022-12-18,Closed,Medium,Password Reset,Phone
2025,1760,2022-07-28,2022-07-31,Resolved,Medium,Feature Request,Phone
2026,1760,2022-10-25,,Open,Urgent,Technical Glitch,Phone
2027,1761,2022-06-27,,In Progress,Medium,How-to Question,Forum
2028,1762,2022-07-03,2022-07-06,Resolved,Urgent,Technical Glitch,Email
2029,1763,2022-08-14,2022-08-19,Resolved,High,How-to Question,Email
2030,1764,2023-04-30,2023-05-03,Closed,Medium,Password Reset,Chat
2031,1764,2023-11-05,,In Progress,Urgent,Bug Report,Email
2032,1765,2023-02-02,,In Progress,Urgent,How-to Question,Phone
2033,1765,2023-05-19,2023-05-26,Closed,Medium,Password Reset,Chat
2034,1766,2022-11-29,2022-12-04,Resolved,High,Password Reset,Email
2035,1766,2023-03-03,2023-03-08,Closed,High,Bug Report,Forum
2036,1768,2022-10-16,2022-10-21,Resolved,Low,Billing Inquiry,Phone
2037,1768,2023-03-04,,In Progress,Urgent,Password Reset,Email
2038,1769,2023-11-17,,In Progress,Urgent,Bug Report,Forum
2039,1770,2022-09-23,,Open,Urgent,Billing Inquiry,Chat
2040,1771,2024-10-13,,Pending Customer Response,Urgent,Billing Inquiry,Chat
2041,1771,2023-04-13,,In Progress,High,Billing Inquiry,Phone
2042,1772,2023-01-15,,Open,Low,Password Reset,Chat
2043,1773,2022-08-08,,In Progress,Low,Bug Report,Chat
2044,1774,2023-03-29,2023-03-31,Closed,High,How-to Question,Forum
2045,1776,2022-10-12,,In Progress,Urgent,Billing Inquiry,Email
2046,1777,2022-06-28,,Pending Customer Response,Low,Password Reset,Email
2047,1778,2022-10-24,2022-10-30,Resolved,Urgent,How-to Question,Phone
2048,1778,2022-10-14,2022-10-15,Resolved,Urgent,Technical Glitch,Email
2049,1779,2023-09-16,,Pending Customer Response,Low,Feature Request,Email
2050,1781,2022-06-18,,Pending Customer Response,Urgent,Technical Glitch,Phone
2051,1782,2022-10-12,,Pending Customer Response,Low,How-to Question,Email
2052,1783,2022-12-28,2022-12-31,Resolved,Medium,Feature Request,Phone
2053,1783,2022-07-05,,In Progress,Low,Technical Glitch,Forum
2054,1784,2022-10-08,2022-10-11,Closed,Low,Feature Request,Phone
2055,1785,2023-01-11,,Pending Customer Response,Low,How-to Question,Phone
2056,1786,2022-07-05,2022-07-06,Closed,High,Bug Report,Email
2057,1787,2022-07-18,,Pending Customer Response,Low,Billing Inquiry,Email
2058,1788,2022-07-06,,In Progress,Urgent,Feature Request,Chat
2059,1788,2022-08-14,2022-08-18,Resolved,Urgent,Bug Report,Forum
2060,1789,2023-08-02,2023-08-06,Resolved,Low,Bug Report,Forum
2061,1790,2022-10-21,,Pending Customer Response,Low,Password Reset,Chat
2062,1790,2023-06-12,,In Progress,High,Bug Report,Forum
2063,1792,2023-01-24,,In Progress,Urgent,Technical Glitch,Phone
2064,1793,2022-09-05,,Open,High,Password Reset,Forum
2065,1793,2022-11-01,2022-11-07,Closed,Urgent,Password Reset,Email
2066,1793,2022-07-28,,Pending Customer Response,Urgent,How-to Question,Email
2067,1794,2022-11-30,,Open,Low,Technical Glitch,Email
2068,1795,2023-07-21,2023-07-26,Closed,High,How-to Question,Forum
2069,1796,2023-05-04,,Pending Customer Response,Urgent,Technical Glitch,Forum
2070,1797,2023-07-08,2023-07-13,Closed,Urgent,Technical Glitch,Forum
2071,1797,2022-07-25,,Open,Medium,Password Reset,Email
2072,1798,2022-09-13,,Pending Customer Response,Urgent,Feature Request,Email
2073,1798,2022-07-22,,Pending Customer Response,Medium,Technical Glitch,Phone
2074,1798,2022-12-29,,Pending Customer Response,Low,Technical Glitch,Phone
2075,1800,2023-02-25,,Pending Customer Response,Low,Feature Request,Chat
2076,1801,2023-05-20,,In Progress,Medium,How-to Question,Email
2077,1803,2022-06-22,2022-06-27,Resolved,Urgent,Password Reset,Phone
2078,1804,2022-07-23,,In Progress,Low,Feature Request,Email
2079,1804,2022-08-17,2022-08-20,Closed,Urgent,How-to Question,Email
2080,1805,2022-07-17,2022-07-19,Resolved,Low,Technical Glitch,Email
2081,1806,2023-02-16,,Open,High,Billing Inquiry,Phone
2082,1807,2022-11-20,2022-11-26,Closed,Low,Technical Glitch,Chat
2083,1811,2023-07-26,2023-08-02,Resolved,High,Feature Request,Chat
2084,1812,2022-09-05,2022-09-11,Resolved,Low,Feature Request,Chat
2085,1813,2023-03-05,2023-03-05,Resolved,Medium,Feature Request,Chat
2086,1814,2022-10-04,2022-10-09,Closed,High,Password Reset,Forum
2087,1815,2022-09-06,,Open,Medium,Bug Report,Phone
2088,1817,2023-01-10,,In Progress,Low,Password Reset,Phone
2089,1818,2022-11-20,,Pending Customer Response,High,Technical Glitch,Forum
2090,1818,2023-10-02,2023-10-07,Closed,High,Bug Report,Email
2091,1820,2023-06-02,,In Progress,Medium,Feature Request,Phone
2092,1820,2022-11-01,,Open,Urgent,Technical Glitch,Chat
2093,1820,2022-12-02,2022-12-09,Resolved,Medium,Billing Inquiry,Chat
2094,1821,2022-06-24,,Pending Customer Response,Low,Feature Request,Forum
2095,1821,2022-07-18,2022-07-18,Closed,Urgent,How-to Question,Forum
2096,1821,2022-07-14,,Pending Customer Response,Medium,How-to Question,Phone
2097,1824,2022-08-14,,In Progress,Low,How-to Question,Email
2098,1824,2022-08-06,,In Progress,High,How-to Question,Email
2099,1825,2022-10-02,2022-10-03,Resolved,Medium,Technical Glitch,Forum
2100,1825,2022-07-20,2022-07-21,Closed,Low,Bug Report,Phone
2101,1826,2023-08-14,2023-08-19,Closed,Urgent,Bug Report,Chat
2102,1826,2023-06-26,,Open,High,Feature Request,Email
2103,1827,2022-06-27,2022-06-30,Closed,Medium,Billing Inquiry,Chat
2104,1828,2022-06-26,,In Progress,High,Password Reset,Email
2105,1828,2022-08-05,,In Progress,Urgent,Technical Glitch,Phone
2106,1829,2023-07-16,,Open,Urgent,Bug Report,Phone
2107,1829,2024-01-18,2024-01-20,Closed,Medium,Technical Glitch,Forum
2108,1830,2022-06-27,2022-07-02,Closed,Low,Billing Inquiry,Phone
2109,1830,2022-07-17,,In Progress,High,Bug Report,Phone
2110,1830,2022-07-10,2022-07-13,Closed,Low,Technical Glitch,Chat
2111,1831,2022-07-20,,In Progress,Low,Bug Report,Phone
2112,1834,2022-06-29,,Open,Medium,Technical Glitch,Email
2113,1834,2022-06-20,,In Progress,Low,Password Reset,Forum
2114,1835,2022-07-09,,Pending Customer Response,Medium,Billing Inquiry,Forum
2115,1835,2022-10-29,,Pending Customer Response,Low,Password Reset,Chat
2116,1839,2022-09-28,2022-10-02,Closed,Urgent,Password Reset,Phone
2117,1840,2022-06-18,,Pending Customer Response,Urgent,Password Reset,Chat
2118,1841,2022-12-04,2022-12-06,Closed,Low,Billing Inquiry,Forum
2119,1842,2022-07-18,2022-07-25,Closed,High,Billing Inquiry,Phone
2120,1842,2022-07-28,,Pending Customer Response,High,Feature Request,Chat
2121,1843,2024-04-19,,In Progress,High,Billing Inquiry,Forum
2122,1843,2024-02-05,2024-02-11,Resolved,Medium,How-to Question,Email
2123,1844,2022-11-11,,Open,Low,Feature Request,Phone
2124,1845,2022-08-05,,Pending Customer Response,High,Bug Report,Forum
2125,1845,2022-07-09,2022-07-15,Closed,Urgent,Billing Inquiry,Forum
2126,1846,2022-06-21,,Pending Customer Response,High,How-to Question,Email
2127,1847,2022-08-02,2022-08-09,Closed,Low,Billing Inquiry,Chat
2128,1851,2022-10-31,2022-11-01,Closed,High,Password Reset,Email
2129,1852,2022-08-12,,In Progress,Urgent,Bug Report,Forum
2130,1853,2024-05-23,,Open,Urgent,Feature Request,Phone
2131,1854,2023-01-30,2023-01-31,Resolved,High,Bug Report,Email
2132,1854,2022-09-07,2022-09-11,Resolved,Medium,Billing Inquiry,Chat
2133,1854,2022-10-02,,Pending Customer Response,Urgent,Technical Glitch,Email
2134,1855,2022-09-17,2022-09-23,Resolved,High,Technical Glitch,Email
2135,1856,2022-12-13,,In Progress,Urgent,Billing Inquiry,Forum
2136,1856,2022-08-12,,In Progress,Medium,Technical Glitch,Forum
2137,1856,2022-11-26,,Open,Urgent,Feature Request,Phone
2138,1857,2022-06-30,,In Progress,High,Billing Inquiry,Chat
2139,1857,2022-10-06,2022-10-12,Closed,Urgent,How-to Question,Chat
2140,1860,2022-08-23,2022-08-25,Resolved,Medium,Billing Inquiry,Chat
2141,1861,2023-07-05,2023-07-07,Resolved,High,How-to Question,Phone
2142,1861,2023-06-21,,Pending Customer Response,Medium,Password Reset,Email
2143,1861,2022-09-27,,Open,Urgent,Feature Request,Email
2144,1863,2023-04-11,,Open,High,Bug Report,Chat
2145,1863,2022-07-26,,Pending Customer Response,Low,Technical Glitch,Forum
2146,1864,2022-08-10,,Pending Customer Response,Urgent,Password Reset,Chat
2147,1864,2022-07-25,2022-08-01,Closed,Medium,Billing Inquiry,Forum
2148,1864,2022-09-20,,Open,Medium,Feature Request,Forum
2149,1865,2023-05-17,,Open,Urgent,Bug Report,Phone
2150,1865,2023-02-11,2023-02-14,Resolved,Urgent,How-to Question,Email
2151,1866,2022-06-19,,Pending Customer Response,Urgent,Bug Report,Phone
2152,1866,2022-07-06,,Pending Customer Response,High,Feature Request,Chat
2153,1868,2023-02-04,,Open,Low,Password Reset,Chat
2154,1869,2022-06-26,2022-06-26,Closed,Low,Technical Glitch,Phone
2155,1870,2023-12-17,,In Progress,Low,How-to Question,Chat
2156,1871,2022-08-03,,Pending Customer Response,Low,Bug Report,Phone
2157,1871,2022-08-02,,Pending Customer Response,High,Feature Request,Forum
2158,1872,2022-10-23,,Open,Urgent,Feature Request,Forum
2159,1872,2024-01-04,,Pending Customer Response,Low,How-to Question,Chat
2160,1872,2023-02-12,2023-02-12,Closed,Urgent,Billing Inquiry,Phone
2161,1873,2023-02-09,2023-02-13,Closed,Medium,Bug Report,Chat
2162,1873,2022-07-12,2022-07-15,Resolved,High,Bug Report,Phone
2163,1874,2022-07-20,,In Progress,Urgent,Technical Glitch,Phone
2164,1874,2022-06-30,,Pending Customer Response,High,Password Reset,Phone
2165,1875,2022-07-15,,Open,Low,How-to Question,Phone
2166,1876,2022-10-14,2022-10-19,Closed,Medium,Technical Glitch,Chat
2167,1877,2023-02-24,2023-02-27,Resolved,High,Feature Request,Forum
2168,1877,2022-07-29,2022-08-04,Closed,High,Billing Inquiry,Forum
2169,1878,2023-03-22,,Open,Medium,Technical Glitch,Chat
2170,1879,2022-08-09,2022-08-14,Resolved,High,Technical Glitch,Email
2171,1881,2022-11-27,2022-11-27,Closed,Urgent,Bug Report,Chat
2172,1882,2022-07-15,,Pending Customer Response,Low,Billing Inquiry,Forum
2173,1883,2022-08-25,,Pending Customer Response,Low,Technical Glitch,Chat
2174,1883,2022-10-31,,In Progress,Low,Billing Inquiry,Chat
2175,1884,2022-07-23,,Pending Customer Response,Medium,Billing Inquiry,Chat
2176,1884,2022-07-31,,In Progress,Urgent,Bug Report,Chat
2177,1886,2022-09-16,,In Progress,Low,Technical Glitch,Forum
2178,1887,2023-01-11,,In Progress,Low,Billing Inquiry,Chat
2179,1888,2023-06-01,,In Progress,Medium,Feature Request,Phone
2180,1889,2022-08-07,,In Progress,Urgent,Password Reset,Chat
2181,1889,2025-05-23,2025-05-27,Closed,Low,Password Reset,Chat
2182,1889,2023-04-22,2023-04-28,Resolved,High,Feature Request,Phone
2183,1890,2022-09-04,,In Progress,Low,Billing Inquiry,Email
2184,1890,2023-12-18,2023-12-20,Closed,Urgent,Billing Inquiry,Email
2185,1890,2023-01-04,,In Progress,Urgent,Bug Report,Phone
2186,1891,2023-02-09,,In Progress,Low,Bug Report,Phone
2187,1892,2023-01-06,,In Progress,Low,Feature Request,Chat
2188,1895,2022-07-14,,Pending Customer Response,Urgent,Billing Inquiry,Chat
2189,1896,2022-10-22,2022-10-27,Closed,Low,Technical Glitch,Chat
2190,1896,2022-09-28,,Open,Low,Feature Request,Phone
2191,1898,2022-12-03,,In Progress,Medium,Password Reset,Forum
2192,1900,2022-09-22,2022-09-25,Resolved,High,Bug Report,Chat
2193,1900,2022-10-27,2022-11-01,Closed,High,Password Reset,Forum
2194,1900,2023-03-27,,In Progress,Medium,Billing Inquiry,Forum
2195,1901,2022-08-09,2022-08-13,Closed,High,Technical Glitch,Phone
2196,1901,2022-06-28,,Pending Customer Response,Low,Technical Glitch,Phone
2197,1903,2022-09-26,2022-10-02,Closed,High,How-to Question,Forum
2198,1904,2022-06-30,,In Progress,Low,Bug Report,Forum
2199,1904,2022-06-25,2022-06-29,Resolved,High,Bug Report,Phone
2200,1904,2022-06-29,2022-07-02,Resolved,Urgent,Password Reset,Chat
2201,1905,2022-06-27,,In Progress,Low,Feature Request,Email
2202,1906,2023-03-08,,In Progress,High,Password Reset,Forum
2203,1907,2022-09-04,,Open,Medium,Bug Report,Email
2204,1907,2022-06-27,2022-07-02,Resolved,Low,Password Reset,Email
2205,1909,2022-09-01,,Pending Customer Response,High,Bug Report,Chat
2206,1910,2024-09-02,,Open,Urgent,How-to Question,Forum
2207,1912,2023-01-05,,Open,Medium,Password Reset,Chat
2208,1913,2023-08-30,2023-08-31,Closed,Medium,Billing Inquiry,Phone
2209,1914,2023-08-08,2023-08-15,Closed,Urgent,Billing Inquiry,Phone
2210,1915,2022-07-14,2022-07-15,Resolved,High,Technical Glitch,Forum
2211,1915,2022-07-23,2022-07-28,Resolved,Low,Password Reset,Phone
2212,1916,2024-01-11,,Open,Low,Feature Request,Forum
2213,1916,2023-02-04,,In Progress,Medium,How-to Question,Forum
2214,1917,2022-11-29,2022-11-29,Closed,High,Password Reset,Chat
2215,1918,2022-10-23,,Open,Urgent,Bug Report,Chat
2216,1920,2022-06-27,2022-07-04,Closed,Low,Billing Inquiry,Phone
2217,1921,2023-07-21,2023-07-28,Closed,Medium,Feature Request,Forum
2218,1922,2022-09-14,,Open,Medium,Password Reset,Phone
2219,1923,2022-08-27,2022-09-02,Closed,Low,Billing Inquiry,Phone
2220,1924,2023-09-01,,In Progress,Urgent,Feature Request,Chat
2221,1924,2022-11-08,,Pending Customer Response,Low,How-to Question,Email
2222,1924,2023-05-22,,Open,Medium,Technical Glitch,Forum
2223,1925,2023-04-24,,In Progress,Urgent,Bug Report,Chat
2224,1926,2022-06-30,2022-07-06,Closed,High,How-to Question,Email
2225,1926,2022-07-04,2022-07-10,Closed,Low,How-to Question,Phone
2226,1927,2023-05-10,,In Progress,High,Billing Inquiry,Forum
2227,1927,2022-12-20,,Pending Customer Response,High,Feature Request,Forum
2228,1927,2023-04-15,,Pending Customer Response,Medium,Billing Inquiry,Chat
2229,1928,2022-07-20,,Open,Medium,Billing Inquiry,Chat
2230,1929,2023-09-24,2023-10-01,Resolved,High,Feature Request,Chat
2231,1930,2022-12-24,2022-12-27,Resolved,Urgent,How-to Question,Forum
2232,1931,2024-10-28,2024-10-31,Closed,Low,Technical Glitch,Email
2233,1932,2022-07-12,2022-07-17,Closed,High,Feature Request,Email
2234,1934,2022-07-07,,Pending Customer Response,Urgent,Technical Glitch,Chat
2235,1936,2022-09-29,,In Progress,Urgent,Bug Report,Chat
2236,1936,2022-07-28,2022-07-31,Resolved,Urgent,Password Reset,Email
2237,1937,2022-08-10,,Pending Customer Response,Medium,Bug Report,Phone
2238,1937,2022-08-20,2022-08-20,Resolved,High,Feature Request,Phone
2239,1939,2022-10-04,2022-10-06,Resolved,Medium,Technical Glitch,Forum
2240,1940,2023-01-05,2023-01-07,Closed,Low,Feature Request,Chat
2241,1940,2023-01-31,,Open,Low,Feature Request,Email
2242,1941,2022-07-21,,In Progress,Urgent,Password Reset,Email
2243,1942,2022-10-03,2022-10-09,Resolved,Urgent,Billing Inquiry,Chat
2244,1942,2023-01-03,2023-01-07,Closed,Medium,Technical Glitch,Forum
2245,1942,2022-08-11,2022-08-18,Closed,Medium,Billing Inquiry,Forum
2246,1942,2022-09-04,2022-09-08,Resolved,Low,How-to Question,Chat
2247,1943,2022-07-06,,In Progress,Urgent,Technical Glitch,Email
2248,1943,2022-07-08,2022-07-09,Resolved,Medium,Feature Request,Email
2249,1943,2022-07-08,,In Progress,Medium,Bug Report,Chat
2250,1944,2022-07-04,,Open,Urgent,How-to Question,Phone
2251,1947,2022-10-29,2022-10-31,Resolved,Low,Password Reset,Chat
2252,1948,2022-07-11,2022-07-16,Resolved,High,Bug Report,Phone
2253,1949,2022-09-21,,Open,High,Bug Report,Forum
2254,1950,2023-02-25,,In Progress,Medium,Password Reset,Email
2255,1950,2024-08-07,2024-08-09,Resolved,Medium,Feature Request,Chat
2256,1951,2022-07-06,,Pending Customer Response,Medium,Password Reset,Forum
2257,1951,2022-07-03,,Open,High,Technical Glitch,Forum
2258,1952,2022-11-27,,In Progress,Urgent,Billing Inquiry,Phone
2259,1952,2023-02-14,2023-02-15,Resolved,Urgent,Bug Report,Chat
2260,1953,2022-12-04,2022-12-10,Closed,Urgent,Technical Glitch,Forum
2261,1954,2022-08-14,2022-08-20,Resolved,Urgent,Password Reset,Chat
2262,1954,2022-12-24,2022-12-28,Closed,High,How-to Question,Forum
2263,1956,2022-07-07,,Open,Low,Bug Report,Forum
2264,1956,2022-07-08,,In Progress,Urgent,Technical Glitch,Chat
2265,1957,2023-01-07,2023-01-08,Closed,Low,How-to Question,Forum
2266,1958,2022-07-27,,Pending Customer Response,Urgent,Billing Inquiry,Phone
2267,1959,2022-10-16,,Open,Urgent,Technical Glitch,Forum
2268,1960,2022-08-15,,Open,Low,How-to Question,Email
2269,1962,2022-12-28,2023-01-01,Closed,Urgent,How-to Question,Email
2270,1962,2022-12-23,2022-12-23,Closed,Urgent,Technical Glitch,Phone
2271,1962,2022-11-06,,In Progress,High,Feature Request,Email
2272,1963,2022-07-05,2022-07-05,Resolved,Medium,Technical Glitch,Forum
2273,1963,2022-08-22,2022-08-28,Closed,Urgent,How-to Question,Chat
2274,1963,2022-08-02,,Pending Customer Response,Low,Bug Report,Chat
2275,1965,2022-10-20,,Open,Urgent,Billing Inquiry,Phone
2276,1966,2024-01-02,,Pending Customer Response,Urgent,Feature Request,Forum
2277,1967,2023-03-16,2023-03-20,Resolved,Low,Password Reset,Forum
2278,1968,2022-07-05,,Open,Low,Feature Request,Forum
2279,1968,2022-07-15,2022-07-22,Resolved,Urgent,Feature Request,Email
2280,1969,2022-07-13,,In Progress,Low,Password Reset,Chat
2281,1970,2022-07-04,,In Progress,High,Technical Glitch,Email
2282,1971,2022-07-15,,In Progress,High,How-to Question,Email
2283,1972,2022-09-27,,Open,Medium,Technical Glitch,Chat
2284,1973,2024-04-29,2024-05-06,Resolved,High,Bug Report,Chat
2285,1973,2023-03-24,,Open,Urgent,Bug Report,Email
2286,1977,2022-07-23,,Pending Customer Response,Medium,Bug Report,Phone
2287,1978,2022-11-20,,In Progress,Urgent,Feature Request,Phone
2288,1979,2022-11-02,,Open,Medium,Feature Request,Phone
2289,1981,2022-08-30,,Open,Urgent,How-to Question,Forum
2290,1982,2023-02-27,,Open,High,Technical Glitch,Email
2291,1982,2022-10-13,,In Progress,Medium,Technical Glitch,Email
2292,1983,2022-07-31,,Pending Customer Response,Urgent,Password Reset,Email
2293,1983,2022-08-19,2022-08-24,Closed,Medium,Feature Request,Phone
2294,1987,2022-12-12,,Open,Low,How-to Question,Phone
2295,1989,2022-12-13,2022-12-19,Closed,Medium,Bug Report,Phone
2296,1992,2022-10-30,,Open,Medium,Feature Request,Chat
2297,1992,2022-10-26,,Open,High,Bug Report,Chat
2298,1993,2024-01-25,,Pending Customer Response,Low,Technical Glitch,Chat
2299,1993,2023-08-26,,Open,Urgent,How-to Question,Chat
2300,1996,2022-08-28,2022-09-01,Resolved,Medium,How-to Question,Email
2301,1997,2022-09-01,,In Progress,Low,How-to Question,Chat
2302,1997,2022-08-05,,Open,High,Password Reset,Chat
2303,1998,2022-10-01,,In Progress,Medium,How-to Question,Email
2304,1998,2022-09-05,2022-09-07,Closed,Urgent,Billing Inquiry,Forum
2305,1999,2022-09-07,,In Progress,Low,How-to Question,Chat
2306,2000,2022-09-12,,Pending Customer Response,Medium,Bug Report,Email
2307,2000,2022-11-17,,Open,Urgent,Technical Glitch,Chat
2308,2000,2022-07-20,,In Progress,Low,Billing Inquiry,Email
2309,2001,2023-03-31,,Pending Customer Response,Medium,How-to Question,Phone
2310,2001,2022-08-26,2022-09-02,Closed,Urgent,Password Reset,Email
2311,2002,2022-08-23,,Pending Customer Response,Low,How-to Question,Chat
2312,2003,2022-08-22,,In Progress,Medium,Bug Report,Phone
2313,2003,2022-09-06,,Pending Customer Response,Low,Technical Glitch,Phone
2314,2004,2022-12-20,2022-12-20,Resolved,Medium,Bug Report,Email
2315,2006,2022-12-07,2022-12-10,Resolved,Urgent,Technical Glitch,Chat
2316,2007,2022-08-26,2022-09-02,Closed,Urgent,Bug Report,Phone
2317,2008,2022-11-30,2022-12-06,Resolved,Low,Billing Inquiry,Phone
2318,2008,2022-09-01,2022-09-03,Closed,Low,How-to Question,Forum
2319,2009,2023-09-29,2023-10-06,Closed,Urgent,Feature Request,Forum
2320,2009,2023-07-12,,Open,Low,Feature Request,Email
2321,2009,2022-12-14,,Pending Customer Response,High,Bug Report,Chat
2322,2011,2022-07-15,2022-07-16,Closed,Urgent,Bug Report,Chat
2323,2012,2022-07-17,,Pending Customer Response,Medium,Password Reset,Chat
2324,2013,2022-11-26,,Pending Customer Response,High,Password Reset,Forum
